candidate_id,name,smiles,canonical_isomeric_smiles,full_inchi_key,connectivity_key,fragment_parent_key,uncharged_parent_key,canonical_tautomer_key,experimental_dg_kcal_mol,temperature_k,hscp_units,standard_state,sign_convention,heavy_atom_count,molecular_weight,n_eligible_measurement_rows,n_independent_source_refs,source_record_ids,source_refs,source_dois,target_scope_compatible,known_registry_conflict,scientifically_eligible,overlap_endpoint_public_1280_exact,overlap_endpoint_public_1280_standardized,overlap_endpoint_arrow_85_exact,overlap_endpoint_arrow_85_standardized,overlap_teacher_combisolv_qm_exact,overlap_teacher_combisolv_qm_standardized,overlap_teacher_abraham_exact,overlap_teacher_abraham_standardized,overlap_teacher_openff_exact,overlap_teacher_openff_standardized,overlap_teacher_gbn2_exact,overlap_teacher_gbn2_standardized,overlap_teacher_molsolv_smd_exact,overlap_teacher_molsolv_smd_standardized,overlap_teacher_confsolv_exact,overlap_teacher_confsolv_standardized,any_endpoint_overlap,any_teacher_source_overlap,endpoint_disjoint_eligible,strict_response_source_disjoint,endpoint_cohort_exclusion_reason
CGFCSKMZZXPWEY,2-nitrooxy-3-butanol,CC(O)C(C)O[N+](=O)[O-],CC(O)C(C)O[N+](=O)[O-],CGFCSKMZZXPWEY-UHFFFAOYSA-N,CGFCSKMZZXPWEY,CGFCSKMZZXPWEY,CGFCSKMZZXPWEY,CGFCSKMZZXPWEY,-7.359115369041204,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,9,135.119,1,1,SANDER-27623,548,10.1021/ES960538Y,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CHIFOSRWCNZCFN,penoxaline,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],CHIFOSRWCNZCFN-UHFFFAOYSA-N,CHIFOSRWCNZCFN,CHIFOSRWCNZCFN,CHIFOSRWCNZCFN,CHIFOSRWCNZCFN,-6.102891134415766,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,20,281.312,1,1,SANDER-31314,1144,10.1002/ETC.5620090606,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
COAUHYBSXMIJDK,"3,3-dichloro-1,1,1,2,2-pentafluoropropane",FC(F)(F)C(F)(F)C(Cl)Cl,FC(F)(F)C(F)(F)C(Cl)Cl,COAUHYBSXMIJDK-UHFFFAOYSA-N,COAUHYBSXMIJDK,COAUHYBSXMIJDK,COAUHYBSXMIJDK,COAUHYBSXMIJDK,0.8383365091933289,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,202.937,1,1,SANDER-40475,2939,10.1002/KIN.20780,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CWJSHJJYOPWUGX,chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)OC(=O)Nc1cccc(Cl)c1,CWJSHJJYOPWUGX-UHFFFAOYSA-N,CWJSHJJYOPWUGX,CWJSHJJYOPWUGX,CWJSHJJYOPWUGX,CWJSHJJYOPWUGX,-6.488354475825306,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,14,213.664,1,1,SANDER-39746,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
DCEPGADSNJKOJK,trifluoroacetylfluoride,O=C(F)C(F)(F)F,O=C(F)C(F)(F)F,DCEPGADSNJKOJK-UHFFFAOYSA-N,DCEPGADSNJKOJK,DCEPGADSNJKOJK,DCEPGADSNJKOJK,DCEPGADSNJKOJK,-2.553038563510698,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,7,116.01300000000002,1,1,SANDER-32014;SANDER-32015;SANDER-32016,671,10.1007/978-3-642-61445-3_6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
DIRFUJHNVNOBMY,fenobucarb,CCC(C)c1ccccc1OC(=O)NC,CCC(C)c1ccccc1OC(=O)NC,DIRFUJHNVNOBMY-UHFFFAOYSA-N,DIRFUJHNVNOBMY,DIRFUJHNVNOBMY,DIRFUJHNVNOBMY,DIRFUJHNVNOBMY,-7.599347343229355,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,15,207.273,1,1,SANDER-26848,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
DLIFNTQMBOCKTL,PFBHA-propanone,CC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,CC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,DLIFNTQMBOCKTL-UHFFFAOYSA-N,DLIFNTQMBOCKTL,DLIFNTQMBOCKTL,DLIFNTQMBOCKTL,DLIFNTQMBOCKTL,-1.9585971639928252,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,17,253.16999999999996,1,1,SANDER-32463,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
FCOAHACKGGIURQ,iprobenphos,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,FCOAHACKGGIURQ-UHFFFAOYSA-N,FCOAHACKGGIURQ,FCOAHACKGGIURQ,FCOAHACKGGIURQ,FCOAHACKGGIURQ,-7.92524151949921,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,18,288.349,1,1,SANDER-44729,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
FPIQNBOUYZLESW,4-bromo-2-chloro-1-methoxybenzene,COc1ccc(Br)cc1Cl,COc1ccc(Br)cc1Cl,FPIQNBOUYZLESW-UHFFFAOYSA-N,FPIQNBOUYZLESW,FPIQNBOUYZLESW,FPIQNBOUYZLESW,FPIQNBOUYZLESW,-2.0575741949439603,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,221.481,1,1,SANDER-42141,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
FQTLCLSUCSAZDY,nerolidol,C=CC(C)(O)CCC=C(C)CCC=C(C)C,C=CC(C)(O)CCC=C(C)CCC=C(C)C,FQTLCLSUCSAZDY-UHFFFAOYSA-N,FQTLCLSUCSAZDY,FQTLCLSUCSAZDY,FQTLCLSUCSAZDY,FQTLCLSUCSAZDY,0.1372173601069845,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,16,222.372,1,1,SANDER-24150,3216,10.1016/J.CHEMOSPHERE.2015.07.075,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
FWKUBDOTUFVPBX,"2,4,6-tribromo-3-chloro-1-methoxybenzene",COc1c(Br)cc(Br)c(Cl)c1Br,COc1c(Br)cc(Br)c(Cl)c1Br,FWKUBDOTUFVPBX-UHFFFAOYSA-N,FWKUBDOTUFVPBX,FWKUBDOTUFVPBX,FWKUBDOTUFVPBX,FWKUBDOTUFVPBX,-1.846249658720261,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,12,379.2729999999999,1,1,SANDER-42169,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
FYQFWFHDPNXORA,(perfluorohexyl)ethene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FYQFWFHDPNXORA-UHFFFAOYSA-N,FYQFWFHDPNXORA,FYQFWFHDPNXORA,FYQFWFHDPNXORA,FYQFWFHDPNXORA,0.7698968620756514,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,21,346.0859999999999,1,1,SANDER-31831,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
GEWDNTWNSAZUDX,methyl jasmonate,CC/C=C/C[C@@H]1C(=O)CC[C@H]1CC(=O)OC,CC/C=C/C[C@@H]1C(=O)CC[C@H]1CC(=O)OC,GEWDNTWNSAZUDX-NNOMMRTBSA-N,GEWDNTWNSAZUDX,GEWDNTWNSAZUDX,GEWDNTWNSAZUDX,GEWDNTWNSAZUDX,-6.948436096622908,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,16,224.29999999999995,1,1,SANDER-21810,3555,10.5194/BG-5-1287-2008,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
GPAVMFOMYSGJDM,PFBHA-hexanal,CCCCCC=NOCc1c(F)c(F)c(F)c(F)c1F,CCCCCC=NOCc1c(F)c(F)c(F)c(F)c1F,GPAVMFOMYSGJDM-UHFFFAOYSA-N,GPAVMFOMYSGJDM,GPAVMFOMYSGJDM,GPAVMFOMYSGJDM,GPAVMFOMYSGJDM,-1.5793846637549709,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,20,295.2509999999999,1,1,SANDER-32466,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
HKPHPIREJKHECO,butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,HKPHPIREJKHECO-UHFFFAOYSA-N,HKPHPIREJKHECO,HKPHPIREJKHECO,HKPHPIREJKHECO,HKPHPIREJKHECO,-7.637585445680149,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,21,311.85300000000007,1,1,SANDER-39887,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
HLCSDJLATUNSSI,"3,7-dimethyl-2,6-octadienenitrile",CC(C)=CCC/C(C)=C/C#N,CC(C)=CCC/C(C)=C/C#N,HLCSDJLATUNSSI-JXMROGBWSA-N,HLCSDJLATUNSSI,HLCSDJLATUNSSI,HLCSDJLATUNSSI,HLCSDJLATUNSSI,-2.532952404370913,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,149.237,1,1,SANDER-26446,2955,10.1021/JE700418A,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
HYHMYONEYJINON,MCM:ISOPDOOH,C=C(C)C(CO)OO,C=C(C)C(CO)OO,HYHMYONEYJINON-UHFFFAOYSA-N,HYHMYONEYJINON,HYHMYONEYJINON,HYHMYONEYJINON,HYHMYONEYJINON,-7.467138147450005,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,8,118.132,1,1,SANDER-13519,3578,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
IAIHUHQCLTYTSF,"(1R)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O,IAIHUHQCLTYTSF-OYNCUSHFSA-N,IAIHUHQCLTYTSF,IAIHUHQCLTYTSF,IAIHUHQCLTYTSF,IAIHUHQCLTYTSF,-4.025308354953737,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,154.253,1,1,SANDER-24111,2462,10.1021/JE980070+,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
ICDUEGOPUWNJNF,PFBHA-propenal,C=CC=NOCc1c(F)c(F)c(F)c(F)c1F,C=CC=NOCc1c(F)c(F)c(F)c(F)c1F,ICDUEGOPUWNJNF-UHFFFAOYSA-N,ICDUEGOPUWNJNF,ICDUEGOPUWNJNF,ICDUEGOPUWNJNF,ICDUEGOPUWNJNF,-1.871736811958389,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,17,251.15399999999997,1,1,SANDER-32469,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
JIVCPRHFBFVZQL,"2-bromo-3,4,5-trichloro-1-methoxybenzene",COc1cc(Cl)c(Cl)c(Cl)c1Br,COc1cc(Cl)c(Cl)c(Cl)c1Br,JIVCPRHFBFVZQL-UHFFFAOYSA-N,JIVCPRHFBFVZQL,JIVCPRHFBFVZQL,JIVCPRHFBFVZQL,JIVCPRHFBFVZQL,-1.890157516875148,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,12,290.371,1,1,SANDER-42154,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
KJRACWZCOVHBQU,2-methoxy-2-methylheptane,CCCCCC(C)(C)OC,CCCCCC(C)(C)OC,KJRACWZCOVHBQU-UHFFFAOYSA-N,KJRACWZCOVHBQU,KJRACWZCOVHBQU,KJRACWZCOVHBQU,KJRACWZCOVHBQU,-0.9181690713424469,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,144.25799999999998,1,1,SANDER-22932,3304,10.1016/J.FLUID.2006.02.022,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
KNUQGVIXAYDSOX,1-nitrooxy-2-butanol,CCC(O)CO[N+](=O)[O-],CCC(O)CO[N+](=O)[O-],KNUQGVIXAYDSOX-UHFFFAOYSA-N,KNUQGVIXAYDSOX,KNUQGVIXAYDSOX,KNUQGVIXAYDSOX,KNUQGVIXAYDSOX,-7.026068370085849,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,9,135.119,1,1,SANDER-27597;SANDER-27598,548,10.1021/ES960538Y,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
KOCVACNWDMSLBM,vanillyl ethyl ether,CCOCc1ccc(O)c(OC)c1,CCOCc1ccc(O)c(OC)c1,KOCVACNWDMSLBM-UHFFFAOYSA-N,KOCVACNWDMSLBM,KOCVACNWDMSLBM,KOCVACNWDMSLBM,KOCVACNWDMSLBM,-8.195103915206705,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,13,182.219,1,1,SANDER-24517,3723,10.1021/ACS.EST.9B06443,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
LCFKURIJYIJNRU,2-methyl-1-hexanol,CCCCC(C)CO,CCCCC(C)CO,LCFKURIJYIJNRU-UHFFFAOYSA-N,LCFKURIJYIJNRU,LCFKURIJYIJNRU,LCFKURIJYIJNRU,LCFKURIJYIJNRU,-4.410771696363276,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,8,116.20399999999998,1,1,SANDER-10382,2891,10.1021/JE3010535,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
LCHJNNXHVDDVAT,"2-bromo-3,5-dichloro-1-methoxybenzene",COc1cc(Cl)cc(Cl)c1Br,COc1cc(Cl)cc(Cl)c1Br,LCHJNNXHVDDVAT-UHFFFAOYSA-N,LCHJNNXHVDDVAT,LCHJNNXHVDDVAT,LCHJNNXHVDDVAT,LCHJNNXHVDDVAT,-1.9585971639928252,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,255.926,1,1,SANDER-42142,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
LFVCJQWZGDLHSD,guaiacylacetone,COc1cc(CC(C)=O)ccc1O,COc1cc(CC(C)=O)ccc1O,LFVCJQWZGDLHSD-UHFFFAOYSA-N,LFVCJQWZGDLHSD,LFVCJQWZGDLHSD,LFVCJQWZGDLHSD,LFVCJQWZGDLHSD,-10.195632173518485,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,13,180.203,1,1,SANDER-24520,3723,10.1021/ACS.EST.9B06443,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
LFYXNXGVLGKVCJ,2-methylisoborneol,CC1(C)C2CCC1(C)[C@](C)(O)C2,CC1(C)C2CCC1(C)[C@](C)(O)C2,LFYXNXGVLGKVCJ-BOBPJJCASA-N,LFYXNXGVLGKVCJ,LFYXNXGVLGKVCJ,LFYXNXGVLGKVCJ,LFYXNXGVLGKVCJ,-3.197329797674128,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,12,168.28,1,1,SANDER-11677,3303,10.1021/ES0480264,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
LNDQFOSWZJYEIC,PFBHA-butanone,CCC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,CCC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,LNDQFOSWZJYEIC-UHFFFAOYSA-N,LNDQFOSWZJYEIC,LNDQFOSWZJYEIC,LNDQFOSWZJYEIC,LNDQFOSWZJYEIC,-1.4547877990255242,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,18,267.19699999999995,1,1,SANDER-32464,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
MUUDTVDSRYEMBU,"2,4-dibromo-5,6-dichloro-1-methoxybenzene",COc1c(Br)cc(Br)c(Cl)c1Cl,COc1c(Br)cc(Br)c(Cl)c1Cl,MUUDTVDSRYEMBU-UHFFFAOYSA-N,MUUDTVDSRYEMBU,MUUDTVDSRYEMBU,MUUDTVDSRYEMBU,MUUDTVDSRYEMBU,-1.890157516875148,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,12,334.8219999999999,1,1,SANDER-42166,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
NMWKWBPNKPGATC,"4,5,6,7-tetrachlorophthalide",O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,NMWKWBPNKPGATC-UHFFFAOYSA-N,NMWKWBPNKPGATC,NMWKWBPNKPGATC,NMWKWBPNKPGATC,NMWKWBPNKPGATC,-6.343123108603918,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,14,271.914,1,1,SANDER-38245,2229,10.1016/0045-6535(89)90482-7,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
