pool,pool_index,molecule_id,connectivity_key,canonical_smiles,primary_family,scaffold_key,butina_cluster_0_70
benchmark,29,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,ZTQSAGDEMFDKMZ,CCCC=O,aldehyde,ACYCLIC::aldehyde,112
benchmark,30,CSCPPACGZOOCGX-UHFFFAOYSA-N,CSCPPACGZOOCGX,CC(C)=O,ketone,ACYCLIC::ketone,989
benchmark,31,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,ZWEHNKRNPOVVGH,CCC(C)=O,ketone,ACYCLIC::ketone,108
benchmark,32,XNLICIUVMPYHGG-UHFFFAOYSA-N,XNLICIUVMPYHGG,CCCC(C)=O,ketone,ACYCLIC::ketone,218
benchmark,33,FDPIMTJIUBPUKL-UHFFFAOYSA-N,FDPIMTJIUBPUKL,CCC(=O)CC,ketone,ACYCLIC::ketone,920
benchmark,34,QQZOPKMRPOGIEB-UHFFFAOYSA-N,QQZOPKMRPOGIEB,CCCCC(C)=O,ketone,ACYCLIC::ketone,7
benchmark,35,QTBSBXVTEAMEQO-UHFFFAOYSA-N,QTBSBXVTEAMEQO,CC(=O)O,carboxylic_acid,ACYCLIC::carboxylic_acid,470
benchmark,36,XBDQKXXYIPTUBI-UHFFFAOYSA-N,XBDQKXXYIPTUBI,CCC(=O)O,carboxylic_acid,ACYCLIC::carboxylic_acid,236
benchmark,37,FERIUCNNQQJTOY-UHFFFAOYSA-N,FERIUCNNQQJTOY,CCCC(=O)O,carboxylic_acid,ACYCLIC::carboxylic_acid,919
benchmark,38,UHOVQNZJYSORNB-UHFFFAOYSA-N,UHOVQNZJYSORNB,c1ccccc1,carbocyclic_aromatic,c1ccccc1,333
benchmark,39,UFWIBTONFRDIAS-UHFFFAOYSA-N,UFWIBTONFRDIAS,c1ccc2ccccc2c1,carbocyclic_aromatic,c1ccc2ccccc2c1,337
benchmark,40,MWPLVEDNUUSJAV-UHFFFAOYSA-N,MWPLVEDNUUSJAV,c1ccc2cc3ccccc3cc2c1,carbocyclic_aromatic,c1ccc2cc3ccccc3cc2c1,90
benchmark,41,IFLREYGFSNHWGE-UHFFFAOYSA-N,IFLREYGFSNHWGE,c1ccc2cc3cc4ccccc4cc3cc2c1,carbocyclic_aromatic,c1ccc2cc3cc4ccccc4cc3cc2c1,90
benchmark,42,BBEAQIROQSPTKN-UHFFFAOYSA-N,BBEAQIROQSPTKN,c1cc2ccc3cccc4ccc(c1)c2c34,carbocyclic_aromatic,c1cc2ccc3cccc4ccc(c1)c2c34,1053
benchmark,43,YNPNZTXNASCQKK-UHFFFAOYSA-N,YNPNZTXNASCQKK,c1ccc2c(c1)ccc1ccccc12,carbocyclic_aromatic,c1ccc2c(c1)ccc1ccccc12,51
benchmark,44,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,ZUOUZKKEUPVFJK,c1ccc(-c2ccccc2)cc1,carbocyclic_aromatic,c1ccc(-c2ccccc2)cc1,110
benchmark,45,YXFVVABEGXRONW-UHFFFAOYSA-N,YXFVVABEGXRONW,Cc1ccccc1,carbocyclic_aromatic,c1ccccc1,148
benchmark,46,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,ISWSIDIOOBJBQZ,Oc1ccccc1,alcohol_or_phenol,c1ccccc1,772
benchmark,47,IWDCLRJOBJJRNH-UHFFFAOYSA-N,IWDCLRJOBJJRNH,Cc1ccc(O)cc1,alcohol_or_phenol,c1ccccc1,767
benchmark,48,RLSSMJSEOOYNOY-UHFFFAOYSA-N,RLSSMJSEOOYNOY,Cc1cccc(O)c1,alcohol_or_phenol,c1ccccc1,431
benchmark,49,QWVGKYWNOKOFNN-UHFFFAOYSA-N,QWVGKYWNOKOFNN,Cc1ccccc1O,alcohol_or_phenol,c1ccccc1,459
benchmark,50,XLYOFNOQVPJJNP-UHFFFAOYSA-N,XLYOFNOQVPJJNP,O,other,ACYCLIC::other,221
benchmark,51,OKKJLVBELUTLKV-UHFFFAOYSA-N,OKKJLVBELUTLKV,CO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,563
benchmark,52,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ,CCO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,671
benchmark,53,BDERNNFJNOPAEC-UHFFFAOYSA-N,BDERNNFJNOPAEC,CCCO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,1046
benchmark,54,KFZMGEQAYNKOFK-UHFFFAOYSA-N,KFZMGEQAYNKOFK,CC(C)O,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,716
benchmark,55,LRHPLDYGYMQRHN-UHFFFAOYSA-N,LRHPLDYGYMQRHN,CCCCO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,3
benchmark,56,BTANRVKWQNVYAZ-UHFFFAOYSA-N,BTANRVKWQNVYAZ,CCC(C)O,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,1019
benchmark,57,DKGAVHZHDRPRBM-UHFFFAOYSA-N,DKGAVHZHDRPRBM,CC(C)(C)O,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,949
benchmark,58,AMQJEAYHLZJPGS-UHFFFAOYSA-N,AMQJEAYHLZJPGS,CCCCCO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,3
benchmark,59,MSXVEPNJUHWQHW-UHFFFAOYSA-N,MSXVEPNJUHWQHW,CCC(C)(C)O,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,622
benchmark,60,JYVLIDXNZAXMDK-UHFFFAOYSA-N,JYVLIDXNZAXMDK,CCCC(C)O,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,731
benchmark,61,AQIXEPGDORPWBJ-UHFFFAOYSA-N,AQIXEPGDORPWBJ,CCC(O)CC,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,1073
benchmark,62,HPXRVTGHNJAIIH-UHFFFAOYSA-N,HPXRVTGHNJAIIH,OC1CCCCC1,alcohol_or_phenol,C1CCCCC1,22
benchmark,63,KBPLFHHGFOOTCA-UHFFFAOYSA-N,KBPLFHHGFOOTCA,CCCCCCCCO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,3
benchmark,64,XEKOWRVHYACXOJ-UHFFFAOYSA-N,XEKOWRVHYACXOJ,CCOC(C)=O,ester,ACYCLIC::ester,230
benchmark,65,RJUFJBKOKNCXHH-UHFFFAOYSA-N,RJUFJBKOKNCXHH,CCC(=O)OC,ester,ACYCLIC::ester,436
benchmark,66,YKYONYBAUNKHLG-UHFFFAOYSA-N,YKYONYBAUNKHLG,CCCOC(C)=O,ester,ACYCLIC::ester,52
benchmark,67,DKPFZGUDAPQIHT-UHFFFAOYSA-N,DKPFZGUDAPQIHT,CCCCOC(C)=O,ester,ACYCLIC::ester,18
benchmark,68,DLFVBJFMPXGRIB-UHFFFAOYSA-N,DLFVBJFMPXGRIB,CC(N)=O,amide,ACYCLIC::amide,946
benchmark,69,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,OHLUUHNLEMFGTQ,CNC(C)=O,amide,ACYCLIC::amide,569
benchmark,70,FXHOOIRPVKKKFG-UHFFFAOYSA-N,FXHOOIRPVKKKFG,CC(=O)N(C)C,amide,ACYCLIC::amide,895
benchmark,71,QLNJFJADRCOGBJ-UHFFFAOYSA-N,QLNJFJADRCOGBJ,CCC(N)=O,amide,ACYCLIC::amide,483
benchmark,72,LSDPWZHWYPCBBB-UHFFFAOYSA-N,LSDPWZHWYPCBBB,CS,thiol,ACYCLIC::thiol,651
benchmark,73,DNJIEGIFACGWOD-UHFFFAOYSA-N,DNJIEGIFACGWOD,CCS,thiol,ACYCLIC::thiol,942
benchmark,74,SUVIGLJNEAMWEG-UHFFFAOYSA-N,SUVIGLJNEAMWEG,CCCS,thiol,ACYCLIC::thiol,364
benchmark,75,WQAQPCDUOCURKW-UHFFFAOYSA-N,WQAQPCDUOCURKW,CCCCS,thiol,ACYCLIC::thiol,262
benchmark,76,QMMFVYPAHWMCMS-UHFFFAOYSA-N,QMMFVYPAHWMCMS,CSC,sulfide_or_disulfide,ACYCLIC::sulfide_or_disulfide,481
benchmark,77,LJSQFQKUNVCTIA-UHFFFAOYSA-N,LJSQFQKUNVCTIA,CCSCC,sulfide_or_disulfide,ACYCLIC::sulfide_or_disulfide,666
benchmark,78,WXEHBUMAEPOYKP-UHFFFAOYSA-N,WXEHBUMAEPOYKP,CCSC,sulfide_or_disulfide,ACYCLIC::sulfide_or_disulfide,242
benchmark,79,WQOXQRCZOLPYPM-UHFFFAOYSA-N,WQOXQRCZOLPYPM,CSSC,sulfide_or_disulfide,ACYCLIC::sulfide_or_disulfide,261
benchmark,80,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,ZFRKQXVRDFCRJG,Cc1c[nH]c2ccccc12,aromatic_heterocycle,c1ccc2[nH]ccc2c1,134
benchmark,81,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,PAYRUJLWNCNPSJ,Nc1ccccc1,amine,c1ccccc1,543
benchmark,82,RAXXELZNTBOGNW-UHFFFAOYSA-N,RAXXELZNTBOGNW,c1c[nH]cn1,aromatic_heterocycle,c1c[nH]cn1,451
benchmark,83,KAESVJOAVNADME-UHFFFAOYSA-N,KAESVJOAVNADME,c1cc[nH]c1,aromatic_heterocycle,c1cc[nH]c1,727
benchmark,84,JUJWROOIHBZHMG-UHFFFAOYSA-N,JUJWROOIHBZHMG,c1ccncc1,aromatic_heterocycle,c1ccncc1,738
public,0,AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,amide,O=C1CN=C(c2ccccc2)c2ccccc2N1,1093
public,1,ABDKAPXRBAPSQN-UHFFFAOYSA-N,ABDKAPXRBAPSQN,COc1ccccc1OC,ether,c1ccccc1,1092
public,2,ABVVEAHYODGCLZ-UHFFFAOYSA-N,ABVVEAHYODGCLZ,CCCCCCCCCCCCCN,amine,ACYCLIC::amine,9
public,3,ACKALUBLCWJVNB-UHFFFAOYSA-N,ACKALUBLCWJVNB,CC(=O)OC(C)OC(C)=O,ester,ACYCLIC::ester,1091
public,4,ADIDQIZBYUABQK-UHFFFAOYSA-N,ADIDQIZBYUABQK,C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,alkene_or_diene,C1CCC2=C(CC1)CCC2,1090
public,5,AEXMKKGTQYQZCS-UHFFFAOYSA-N,AEXMKKGTQYQZCS,CCC(C)(C)CC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1089
public,6,AFABGHUZZDYHJO-UHFFFAOYSA-N,AFABGHUZZDYHJO,CCCC(C)C,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1088
public,7,AFBPFSWMIHJQDM-UHFFFAOYSA-N,AFBPFSWMIHJQDM,CNc1ccccc1,amine,c1ccccc1,1087
public,8,AFFLGGQVNFXPEV-UHFFFAOYSA-N,AFFLGGQVNFXPEV,C=CCCCCCCCC,alkene_or_diene,ACYCLIC::alkene_or_diene,8
public,9,AFIIBUOYKYSPKB-UHFFFAOYSA-N,AFIIBUOYKYSPKB,CSc1nc(N=[N+]=[N-])nc(NC(C)C)n1,amine,c1ncncn1,1086
public,10,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,AFPHTEQTJZKQAQ,O=C(O)c1cccc([N+](=O)[O-])c1,carboxylic_acid,c1ccccc1,1085
public,11,AFVDZBIIBXWASR-UHFFFAOYSA-N,AFVDZBIIBXWASR,C=CC=CC=C,alkene_or_diene,ACYCLIC::alkene_or_diene,1084
public,12,AFYPFACVUDMOHA-UHFFFAOYSA-N,AFYPFACVUDMOHA,FC(F)(F)Cl,other,ACYCLIC::other,101
public,13,AGDYNDJUZRMYRG-UHFFFAOYSA-N,AGDYNDJUZRMYRG,CCCCCCO[N+](=O)[O-],amine,ACYCLIC::amine,79
public,14,AGEZXYOZHKGVCM-UHFFFAOYSA-N,AGEZXYOZHKGVCM,BrCc1ccccc1,carbocyclic_aromatic,c1ccccc1,1083
public,15,AHAREKHAZNPPMI-UHFFFAOYSA-N,AHAREKHAZNPPMI,C=CC=CCC,alkene_or_diene,ACYCLIC::alkene_or_diene,1082
public,16,AHJKRLASYNVKDZ-UHFFFAOYSA-N,AHJKRLASYNVKDZ,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,carbocyclic_aromatic,c1ccc(Cc2ccccc2)cc1,1081
public,17,AILKHAQXUAOOFU-UHFFFAOYSA-N,AILKHAQXUAOOFU,CCCCCC#N,other,ACYCLIC::other,77
public,18,AJDIZQLSFPQPEY-UHFFFAOYSA-N,AJDIZQLSFPQPEY,FC(F)(Cl)C(F)(Cl)Cl,other,ACYCLIC::other,1080
public,19,AKCRQHGQIJBRMN-UHFFFAOYSA-N,AKCRQHGQIJBRMN,Nc1ccccc1Cl,amine,c1ccccc1,1079
public,20,ALBYIUDWACNRRB-UHFFFAOYSA-N,ALBYIUDWACNRRB,CCCCCC(N)=O,amide,ACYCLIC::amide,1078
public,21,ALEROMXYYSQFLX-UHFFFAOYSA-N,ALEROMXYYSQFLX,CC(C)CCCOC(=O)c1ccccc1C(=O)OCCCC(C)C,ester,c1ccccc1,6
public,22,AMIMRNSIRUDHCM-UHFFFAOYSA-N,AMIMRNSIRUDHCM,CC(C)C=O,aldehyde,ACYCLIC::aldehyde,1077
public,23,ANGDWNBGPBMQHW-UHFFFAOYSA-N,ANGDWNBGPBMQHW,COC(=O)CC#N,ester,ACYCLIC::ester,1076
public,24,ANOOTOPTCJRUPK-UHFFFAOYSA-N,ANOOTOPTCJRUPK,CCCCCCI,other,ACYCLIC::other,29
public,25,AOGQPLXWSUTHQB-UHFFFAOYSA-N,AOGQPLXWSUTHQB,CCCCCCOC(C)=O,ester,ACYCLIC::ester,18
public,26,AORMDLNPRGXHHL-UHFFFAOYSA-N,AORMDLNPRGXHHL,CCC(CC)CC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1075
public,27,APPOKADJQUIAHP-UHFFFAOYSA-N,APPOKADJQUIAHP,CC=CC=CC,alkene_or_diene,ACYCLIC::alkene_or_diene,1074
public,28,APQSQLNWAIULLK-UHFFFAOYSA-N,APQSQLNWAIULLK,Cc1ccc(C)c2ccccc12,carbocyclic_aromatic,c1ccc2ccccc2c1,72
public,29,AQNQQHJNRPDOQV-UHFFFAOYSA-N,AQNQQHJNRPDOQV,BrC1CCCCC1,other,C1CCCCC1,1072
public,30,AQXYVFBSOOBBQV-UHFFFAOYSA-N,AQXYVFBSOOBBQV,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,ketone,O=C1c2ccccc2C(=O)c2ccccc21,45
public,31,ARRIWOKAMDZZSZ-QMMMGPOBSA-N,ARRIWOKAMDZZSZ,FC(F)[C@@H](F)Oc1ccccc1,ether,c1ccccc1,1071
public,32,ASHGTJPOSUFTGB-UHFFFAOYSA-N,ASHGTJPOSUFTGB,COc1cccc(O)c1,alcohol_or_phenol,c1ccccc1,1070
public,33,ASUDFOJKTJLAIK-UHFFFAOYSA-N,ASUDFOJKTJLAIK,COCCN,ether,ACYCLIC::ether,1069
public,34,ASWVTGNCAZCNNR-UHFFFAOYSA-N,ASWVTGNCAZCNNR,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,amine,O=S(=O)(Nc1ncccn1)c1ccccc1,1068
public,35,ATHHXGZTWNVVOU-UHFFFAOYSA-N,ATHHXGZTWNVVOU,CNC=O,amide,ACYCLIC::amide,1067
public,36,AUHZEENZYGFFBQ-UHFFFAOYSA-N,AUHZEENZYGFFBQ,Cc1cc(C)cc(C)c1,carbocyclic_aromatic,c1ccccc1,1065
public,37,AUIKJTGFPFLMFP-UHFFFAOYSA-N,AUIKJTGFPFLMFP,CC(C)N(N=O)C(C)C,amine,ACYCLIC::amine,1064
public,38,AVMSWPWPYJVYKY-UHFFFAOYSA-N,AVMSWPWPYJVYKY,CC(C)COC=O,ester,ACYCLIC::ester,1063
public,39,AVSIMRGRHWKCAY-UHFFFAOYSA-N,AVSIMRGRHWKCAY,Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,carbocyclic_aromatic,c1ccccc1,1062
public,40,AXLYJLKKPUICKV-UHFFFAOYSA-N,AXLYJLKKPUICKV,COC(=O)c1cccc([N+](=O)[O-])c1,ester,c1ccccc1,1061
public,41,AXVZFRBSCNEKPQ-UHFFFAOYSA-N,AXVZFRBSCNEKPQ,CNCCc1ccc(O)cc1,alcohol_or_phenol,c1ccccc1,1060
public,42,AZOCECCLWFDTAP-RKDXNWHRSA-N,AZOCECCLWFDTAP,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,ketone,O=C1CCCCC1,1059
public,43,AZQWKYJCGOJGHM-UHFFFAOYSA-N,AZQWKYJCGOJGHM,O=C1C=CC(=O)C=C1,ketone,O=C1C=CC(=O)C=C1,1058
public,44,BAVONGHXFVOKBV-ZJUUUORDSA-N,BAVONGHXFVOKBV,C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,alcohol_or_phenol,C1=CCCCC1,1057
public,45,BBDKZWKEPDTENS-UHFFFAOYSA-N,BBDKZWKEPDTENS,C=CC1CC=CCC1,alkene_or_diene,C1=CCCCC1,1054
public,46,BBMCTIGTTCKYKF-UHFFFAOYSA-N,BBMCTIGTTCKYKF,CCCCCCCO,alcohol_or_phenol,ACYCLIC::alcohol_or_phenol,3
public,47,BBPXZLJCPUPNGH-UHFFFAOYSA-N,BBPXZLJCPUPNGH,CC(C)C1=CC2=CCC3C(C)(C)CCCC3(C)C2CC1,alkene_or_diene,C1=CC2=CCC3CCCCC3C2CC1,1051
public,48,BCCOBQSFUDVTJQ-UHFFFAOYSA-N,BCCOBQSFUDVTJQ,FC1(F)C(F)(F)C(F)(F)C1(F)F,other,C1CCC1,1050
public,49,BCQMBFHBDZVHKU-UHFFFAOYSA-N,BCQMBFHBDZVHKU,CCNc1nc(NC(C)(C)C)nc(OC)n1,ether,c1ncncn1,1049
public,50,BCQZXOMGPXTTIC-SFOWXEAESA-N,BCQZXOMGPXTTIC,FC(F)(F)[C@H](Cl)Br,other,ACYCLIC::other,1048
public,51,BFCBRSFYYLSTAA-UHFFFAOYSA-N,BFCBRSFYYLSTAA,CC(=O)OC1(C(C)C)CC=C(C)CC1,ester,C1=CCCCC1,1045
public,52,BGKIECJVXXHLDP-UHFFFAOYSA-N,BGKIECJVXXHLDP,O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,amine,c1ccccc1,1042
public,53,BGTOWKSIORTVQH-UHFFFAOYSA-N,BGTOWKSIORTVQH,O=C1CCCC1,ketone,O=C1CCCC1,95
public,54,BGUWFUQJCDRPTL-UHFFFAOYSA-N,BGUWFUQJCDRPTL,O=Cc1ccncc1,aldehyde,c1ccncc1,1041
public,55,BHAAPTBBJKJZER-UHFFFAOYSA-N,BHAAPTBBJKJZER,COc1ccc(N)cc1,ether,c1ccccc1,1040
public,56,BHHGXPLMPWCGHP-UHFFFAOYSA-N,BHHGXPLMPWCGHP,NCCc1ccccc1,amine,c1ccccc1,1039
public,57,BHNZEZWIUMJCGF-UHFFFAOYSA-N,BHNZEZWIUMJCGF,CC(F)(F)Cl,other,ACYCLIC::other,1038
public,58,BJIOGJUNALELMI-UHFFFAOYSA-N,BJIOGJUNALELMI,CC=Cc1ccc(O)c(OC)c1,alcohol_or_phenol,c1ccccc1,1035
public,59,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,BJQWYEJQWHSSCJ,CCCCCCCCCCCCCCCCCCCCCCCCCCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1
public,60,BKATZVAUANSCKN-UHFFFAOYSA-N,BKATZVAUANSCKN,CC(=O)OCC1=CCC2CC1C2(C)C,ester,C1=CC2CC(C1)C2,1033
public,61,BKIMMITUMNQMOS-UHFFFAOYSA-N,BKIMMITUMNQMOS,CCCCCCCCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1
public,62,BKOOMYPCSUNDGP-UHFFFAOYSA-N,BKOOMYPCSUNDGP,CC=C(C)C,alkene_or_diene,ACYCLIC::alkene_or_diene,1032
public,63,BLXSFCHWMBESKV-UHFFFAOYSA-N,BLXSFCHWMBESKV,CCCCCI,other,ACYCLIC::other,29
public,64,BMLIZLVNXIYGCK-UHFFFAOYSA-N,BMLIZLVNXIYGCK,CN(C)C(=O)Nc1ccc(Cl)cc1,amide,c1ccccc1,1031
public,65,BMVXCPBXGZKUPN-UHFFFAOYSA-N,BMVXCPBXGZKUPN,CCCCCCN,amine,ACYCLIC::amine,9
public,66,BNIXVQGCZULYKV-UHFFFAOYSA-N,BNIXVQGCZULYKV,ClC(Cl)C(Cl)(Cl)Cl,other,ACYCLIC::other,1030
public,67,BOCJQSFSGAZAPQ-UHFFFAOYSA-N,BOCJQSFSGAZAPQ,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,ketone,O=C1c2ccccc2C(=O)c2ccccc21,1029
public,68,BOUGCJDAQLKBQH-UHFFFAOYSA-N,BOUGCJDAQLKBQH,FC(Cl)C(F)(F)F,other,ACYCLIC::other,1028
public,69,BPBPWBGJZQBEKD-UHFFFAOYSA-N,BPBPWBGJZQBEKD,C=C(C)C1CC=C(C)C(OC=O)C1,ester,C1=CCCCC1,1027
public,70,BQFCCUSDZLKBJG-UHFFFAOYSA-N,BQFCCUSDZLKBJG,Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,carbocyclic_aromatic,c1ccc(-c2ccccc2)cc1,1026
public,71,BQOFWKZOCNGFEC-UHFFFAOYSA-N,BQOFWKZOCNGFEC,CC1=CCC2C(C1)C2(C)C,alkene_or_diene,C1=CCC2CC2C1,1025
public,72,BQSLMQNYHVFRDT-UHFFFAOYSA-N,BQSLMQNYHVFRDT,C=CC1(C)CCC(=C(C)C)CC1C(=C)C,alkene_or_diene,C=C1CCCCC1,1024
public,73,BSKHPKMHTQYZBB-UHFFFAOYSA-N,BSKHPKMHTQYZBB,Cc1ccccn1,aromatic_heterocycle,c1ccncc1,1023
public,74,BSPCSKHALVHRSR-BYPYZUCNSA-N,BSPCSKHALVHRSR,CC[C@H](C)Cl,other,ACYCLIC::other,1022
public,75,BSXCLFYNJYBVPM-UHFFFAOYSA-N,BSXCLFYNJYBVPM,CC(=O)CC(=O)c1cccs1,ketone,c1ccsc1,1021
public,76,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ,CC(=O)Oc1ccccc1C(=O)O,carboxylic_acid,c1ccccc1,1020
public,77,BTAGRXWGMYTPBY-UHFFFAOYSA-N,BTAGRXWGMYTPBY,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,carbocyclic_aromatic,c1ccc(-c2ccccc2)cc1,38
public,78,BTFQKIATRPGRBS-UHFFFAOYSA-N,BTFQKIATRPGRBS,Cc1ccccc1C=O,aldehyde,c1ccccc1,1018
