source,source_smiles,source_connectivity_key,source_smiles_sha256
molsolv_smd,CCC=C(C)O,VBPSVYDSYVJIPX,caa3fa4c01b266bc0f55347cfeacfca6bc183892c0eaedbc32e234a5d3c521c5
molsolv_smd,CCC=C(O)O,CPRDLBPDNZTCSM,0582e7271c2d4238fbff337a8270beda1c52e0f4dab4660d8b18d0abe29c4b9f
molsolv_smd,CCC=CO,SIIVGPQREKVCOP,4a9e116371bab2b6482b798ce2e48d3bdcc667e59a9f4dcfe760f7493fb74eeb
molsolv_smd,CCCC=C(C)O,HEEAIHKOVDRAIC,a41b392539ddb21b4de53828582613747edf9d2a9835902db85a53162be5fbcc
molsolv_smd,O=C1C=CC=CC1,WQPDQJCBHQPNCZ,aded56c5d2e75fd5bc76cd4a2b6e67b53e715ff8e08e6c3fa762f36ccd717f69
molsolv_smd,O=C1C=CCC=C1,WGHKKEJHRMUKDK,3e83d527f2f07f4536166e594fe0eae579ebee50a30d026f87498b593aef209f
confsolv,CC(O)CO.CCCCO,AXNCLTXKOHIWCA,1f194074ae7960d5247bef68d6046f01d0d1024159104910e9f33841fb204dbe
confsolv,CC(=O)[O-].[Ag+],CQLFBEKRDQMJLZ,966466da46302caaf70ec5bd5da7705e841d3bf282d1e890acef9cfdfbd74e22
confsolv,[Na+].[OH-],HEMHJVSKTPXQMS,a41d92322672c8404557d37c9c7998f32f9030e266ef41c23beba139cc970c58
confsolv,CC.Cc1ccc(O)cc1.O=CO,HEQYHBOOWKZRHO,06a7dcb694f4939e6ef75021fc890d2aff5c2d98975a8652de26418fd6854b76
confsolv,[Bi+3].[OH-].[O]=[Cr](=[O])([O-])[O-],JFZRJZVGSXHKMW,bed34efb7d1e4079593e022ed3490968bdbc74e8f332bbdc17bd2279ca4ef3b0
confsolv,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[La+3],JLRJWBUSTKIQQH,bea2b76df45729379d50adf104841e4556a49c30c7eb79f67158a49e6169fd79
confsolv,[O]=[Cr](=[O])([OH])[OH],KRVSOGSZCMJSLX,123302d4566255e2b5a1ccb653a37476b88a02847bc5e264458ad287dfd85896
confsolv,CCCC(=O)[O-].[Na+],MFBOGIVSZKQAPD,016282e5a1d31c42fac9d27e3c983ab0682c3ed318ef316108fde566b3958837
confsolv,CN.CN.O=C([O-])C(=O)[O-].[Fe+2],SGCHUASAWIHNPL,28f71fe10ecb95c10e3f77a341600265785e43731857d474a8a4c6807e02e427
confsolv,CC(=O)O.CC(=O)O.CC(=O)O.[Lu],WAENOLHPLZELJY,3ca6e1292a2b08beb8d8211f65e83a33cde44fd93261ad3ae9b9b99592bfd128
confsolv,CC(=O)O.[Ni],XMOKRCSXICGIDD,9dc726368f51db4427f98930de168353e55a2f7cb46c440339956e26a54e25c1
confsolv,CC(=O)[O-].CC(=O)[O-].[Be+2],YUOUKRIPFJKDJY,9e9039a3cc58435fcc140c77a9f36df7c4a38f6371c3f56a5a15d31ecaedb933
confsolv,Cc1ccc([O-])cc1.[Na+],ZECBPBHBGNLLMU,c1b6d4b9fa02390cf5c8fc77144dffdfe013f9b29b9baa73125e22f80ed9e604
confsolv,[CH3][Al]([CH3])[I],CGGWHUZJDXLSTD,16ac27c7b06feacfc23fc15993f318e5f56e0f0b07ab455c2e68d7e396481785
confsolv,[Cu+2].[Li].[c-]1ccccc1.[c-]1ccccc1,DFYHHNBYTNNGAH,25c32d270cbfd38aca18c78f5be3ee848d9b2cbcc759282f748cffd7d68bba51
confsolv,[Al+3].[CH2-]C.[CH2-]C.[CH2-]C,FQRAQWIKULHRDY,531b201441ac32bc72795ec6135113fd1050e70d5678239fbc91a630ca9ffc04
confsolv,C[CH2][Al]([Cl])[CH2]C.C[CH2][Al]([Cl])[Cl],LDXMUMPEDOQULK,9ff9e2a41cf4d31fcc384c549e99dc7c6658645573689dfe02f3d35d98347c98
confsolv,CC(C)[CH2][Al]([I])[CH2]C(C)C,MBZZFFPUTBWWTG,5bfce5658edaab4e0fdc6d40d5daf1286eb7bc4b3210adce375c064484600157
confsolv,[CH3][Al]([I])[I],OFDZMBIASJPNKS,7118c507fc7f7e6b12c12fe46b0673c8ef60a2758645bd58b0e7f7a4f6d535e1
confsolv,C[CH2][Al]([I])[CH2]C,PPQUYYAZSOKTQD,a5830e96cb8c134e9333049fd5aa0eabd28fdc1f7102c1950272058e5a79f504
confsolv,CC[O-].[Na+],QDRKDTQENPPHOJ,31e739e8ca19eb08fe7f478d05c9356d240684b3ae53d70432fad169749a0e90
confsolv,[CH2-]C.[Cu].[K+],RHPUUBHQFYMSIS,5fae6b8bb704b1e952fbf3d8eaec13edcebaa9e552bdd1e28f7a78b3051af740
