source,match_type,benchmark_molecule_id,benchmark_smiles,source_smiles,source_connectivity_key,value
molsolv_smd,canonical_tautomer_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,CC1=CCC(=O)C=C1,PUFOTCLCASXUFR,IWDCLRJOBJJRNH
molsolv_smd,canonical_tautomer_key,QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,CC1=CCC=CC1=O,SCPWMBCIMTYFOP,QWVGKYWNOKOFNN
molsolv_smd,canonical_tautomer_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,CC1C=CC(=O)C=C1,PAXYTJVAGMMBQX,IWDCLRJOBJJRNH
molsolv_smd,canonical_tautomer_key,QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,CC1C=CC=CC1=O,JQGQIRPONOJDCO,QWVGKYWNOKOFNN
molsolv_smd,canonical_tautomer_key,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,Cc1c[nH]c2ccccc12,CC1C=Nc2ccccc21,GHVBYKSRYACRGI,ZFRKQXVRDFCRJG
molsolv_smd,canonical_tautomer_key,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,CC=C(C)O,ZEXFAVZTIZXHFA,ZWEHNKRNPOVVGH
molsolv_smd,canonical_tautomer_key,QLNJFJADRCOGBJ-UHFFFAOYSA-N,CCC(N)=O,CC=C(N)O,HGWRHJDKBMHCEZ,QLNJFJADRCOGBJ
molsolv_smd,canonical_tautomer_key,FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,CC=C(O)CC,AWDHENOHUFETCY,FDPIMTJIUBPUKL
molsolv_smd,canonical_tautomer_key,XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,CC=C(O)O,JNLTYWDDGFTRSX,XBDQKXXYIPTUBI
molsolv_smd,canonical_tautomer_key,RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,CC=C(O)OC,AMKFWCMOLFAZFO,RJUFJBKOKNCXHH
molsolv_smd,canonical_tautomer_key,NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,CC=CO,DOKHEARVIDLSFF,NBBJYMSMWIIQGU
molsolv_smd,canonical_tautomer_key,XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,CCC=C(C)O,VBPSVYDSYVJIPX,XNLICIUVMPYHGG
molsolv_smd,canonical_tautomer_key,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,CCC=C(O)O,CPRDLBPDNZTCSM,FERIUCNNQQJTOY
molsolv_smd,canonical_tautomer_key,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,CCC=CO,SIIVGPQREKVCOP,ZTQSAGDEMFDKMZ
molsolv_smd,canonical_tautomer_key,QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(C)=O,CCCC=C(C)O,HEEAIHKOVDRAIC,QQZOPKMRPOGIEB
molsolv_smd,canonical_tautomer_key,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1,O=C1C=CC=CC1,WQPDQJCBHQPNCZ,ISWSIDIOOBJBQZ
molsolv_smd,canonical_tautomer_key,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1,O=C1C=CCC=C1,WGHKKEJHRMUKDK,ISWSIDIOOBJBQZ
confsolv,morgan_similarity_1_nonidentical,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1,C1CCCCCCCCC1,LMGZGXSXHCMSAA,1.0
confsolv,morgan_similarity_1_nonidentical,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,C1CCCCCCCCC1,LMGZGXSXHCMSAA,1.0
confsolv,morgan_similarity_1_nonidentical,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,C1CCCCCCCCC1,LMGZGXSXHCMSAA,1.0
confsolv,morgan_similarity_1_nonidentical,DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,C1CCCCCCCCC1,LMGZGXSXHCMSAA,1.0
confsolv,morgan_similarity_1_nonidentical,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCC,POOSGDOYLQNASK,1.0
confsolv,morgan_similarity_1_nonidentical,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,CCCCCCCCCCCCCCCCCCO,GLDOVTGHNKAZLK,1.0
confsolv,fragment_parent_key,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,CC(O)CO.CCCCO,AXNCLTXKOHIWCA,LRHPLDYGYMQRHN
confsolv,fragment_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].[Ag+],CQLFBEKRDQMJLZ,QTBSBXVTEAMEQO
confsolv,fragment_parent_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[Na+].[OH-],HEMHJVSKTPXQMS,XLYOFNOQVPJJNP
confsolv,fragment_parent_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,CC.Cc1ccc(O)cc1.O=CO,HEQYHBOOWKZRHO,IWDCLRJOBJJRNH
confsolv,fragment_parent_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[Bi+3].[OH-].[O]=[Cr](=[O])([O-])[O-],JFZRJZVGSXHKMW,XLYOFNOQVPJJNP
confsolv,fragment_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[La+3],JLRJWBUSTKIQQH,QTBSBXVTEAMEQO
confsolv,fragment_parent_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[O]=[Cr](=[O])([OH])[OH],KRVSOGSZCMJSLX,XLYOFNOQVPJJNP
confsolv,fragment_parent_key,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,CCCC(=O)[O-].[Na+],MFBOGIVSZKQAPD,FERIUCNNQQJTOY
confsolv,fragment_parent_key,BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,CN.CN.O=C([O-])C(=O)[O-].[Fe+2],SGCHUASAWIHNPL,BAVYZALUXZFZLV
confsolv,fragment_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)O.CC(=O)O.CC(=O)O.[Lu],WAENOLHPLZELJY,QTBSBXVTEAMEQO
confsolv,fragment_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)O.[Ni],XMOKRCSXICGIDD,QTBSBXVTEAMEQO
confsolv,fragment_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].CC(=O)[O-].[Be+2],YUOUKRIPFJKDJY,QTBSBXVTEAMEQO
confsolv,fragment_parent_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,Cc1ccc([O-])cc1.[Na+],ZECBPBHBGNLLMU,IWDCLRJOBJJRNH
confsolv,uncharged_parent_key,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,CC(O)CO.CCCCO,AXNCLTXKOHIWCA,LRHPLDYGYMQRHN
confsolv,uncharged_parent_key,VNWKTOKETHGBQD-UHFFFAOYSA-N,C,[CH3][Al]([CH3])[I],CGGWHUZJDXLSTD,VNWKTOKETHGBQD
confsolv,uncharged_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].[Ag+],CQLFBEKRDQMJLZ,QTBSBXVTEAMEQO
confsolv,uncharged_parent_key,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,[Cu+2].[Li].[c-]1ccccc1.[c-]1ccccc1,DFYHHNBYTNNGAH,UHOVQNZJYSORNB
confsolv,uncharged_parent_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,[Al+3].[CH2-]C.[CH2-]C.[CH2-]C,FQRAQWIKULHRDY,OTMSDBZUPAUEDD
confsolv,uncharged_parent_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[Na+].[OH-],HEMHJVSKTPXQMS,XLYOFNOQVPJJNP
confsolv,uncharged_parent_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,CC.Cc1ccc(O)cc1.O=CO,HEQYHBOOWKZRHO,IWDCLRJOBJJRNH
confsolv,uncharged_parent_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[Bi+3].[OH-].[O]=[Cr](=[O])([O-])[O-],JFZRJZVGSXHKMW,XLYOFNOQVPJJNP
confsolv,uncharged_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[La+3],JLRJWBUSTKIQQH,QTBSBXVTEAMEQO
confsolv,uncharged_parent_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[O]=[Cr](=[O])([OH])[OH],KRVSOGSZCMJSLX,XLYOFNOQVPJJNP
confsolv,uncharged_parent_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,C[CH2][Al]([Cl])[CH2]C.C[CH2][Al]([Cl])[Cl],LDXMUMPEDOQULK,OTMSDBZUPAUEDD
confsolv,uncharged_parent_key,NNPPMTNAJDCUHE-UHFFFAOYSA-N,CC(C)C,CC(C)[CH2][Al]([I])[CH2]C(C)C,MBZZFFPUTBWWTG,NNPPMTNAJDCUHE
confsolv,uncharged_parent_key,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,CCCC(=O)[O-].[Na+],MFBOGIVSZKQAPD,FERIUCNNQQJTOY
confsolv,uncharged_parent_key,VNWKTOKETHGBQD-UHFFFAOYSA-N,C,[CH3][Al]([I])[I],OFDZMBIASJPNKS,VNWKTOKETHGBQD
confsolv,uncharged_parent_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,C[CH2][Al]([I])[CH2]C,PPQUYYAZSOKTQD,OTMSDBZUPAUEDD
confsolv,uncharged_parent_key,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,CC[O-].[Na+],QDRKDTQENPPHOJ,LFQSCWFLJHTTHZ
confsolv,uncharged_parent_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,[CH2-]C.[Cu].[K+],RHPUUBHQFYMSIS,OTMSDBZUPAUEDD
confsolv,uncharged_parent_key,BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,CN.CN.O=C([O-])C(=O)[O-].[Fe+2],SGCHUASAWIHNPL,BAVYZALUXZFZLV
confsolv,uncharged_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)O.CC(=O)O.CC(=O)O.[Lu],WAENOLHPLZELJY,QTBSBXVTEAMEQO
confsolv,uncharged_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)O.[Ni],XMOKRCSXICGIDD,QTBSBXVTEAMEQO
confsolv,uncharged_parent_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].CC(=O)[O-].[Be+2],YUOUKRIPFJKDJY,QTBSBXVTEAMEQO
confsolv,uncharged_parent_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,Cc1ccc([O-])cc1.[Na+],ZECBPBHBGNLLMU,IWDCLRJOBJJRNH
confsolv,canonical_tautomer_key,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,CC(O)CO.CCCCO,AXNCLTXKOHIWCA,LRHPLDYGYMQRHN
confsolv,canonical_tautomer_key,VNWKTOKETHGBQD-UHFFFAOYSA-N,C,[CH3][Al]([CH3])[I],CGGWHUZJDXLSTD,VNWKTOKETHGBQD
confsolv,canonical_tautomer_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].[Ag+],CQLFBEKRDQMJLZ,QTBSBXVTEAMEQO
confsolv,canonical_tautomer_key,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,[Cu+2].[Li].[c-]1ccccc1.[c-]1ccccc1,DFYHHNBYTNNGAH,UHOVQNZJYSORNB
confsolv,canonical_tautomer_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,[Al+3].[CH2-]C.[CH2-]C.[CH2-]C,FQRAQWIKULHRDY,OTMSDBZUPAUEDD
confsolv,canonical_tautomer_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[Na+].[OH-],HEMHJVSKTPXQMS,XLYOFNOQVPJJNP
confsolv,canonical_tautomer_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,CC.Cc1ccc(O)cc1.O=CO,HEQYHBOOWKZRHO,IWDCLRJOBJJRNH
confsolv,canonical_tautomer_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[Bi+3].[OH-].[O]=[Cr](=[O])([O-])[O-],JFZRJZVGSXHKMW,XLYOFNOQVPJJNP
confsolv,canonical_tautomer_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[La+3],JLRJWBUSTKIQQH,QTBSBXVTEAMEQO
confsolv,canonical_tautomer_key,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,[O]=[Cr](=[O])([OH])[OH],KRVSOGSZCMJSLX,XLYOFNOQVPJJNP
confsolv,canonical_tautomer_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,C[CH2][Al]([Cl])[CH2]C.C[CH2][Al]([Cl])[Cl],LDXMUMPEDOQULK,OTMSDBZUPAUEDD
confsolv,canonical_tautomer_key,NNPPMTNAJDCUHE-UHFFFAOYSA-N,CC(C)C,CC(C)[CH2][Al]([I])[CH2]C(C)C,MBZZFFPUTBWWTG,NNPPMTNAJDCUHE
confsolv,canonical_tautomer_key,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,CCCC(=O)[O-].[Na+],MFBOGIVSZKQAPD,FERIUCNNQQJTOY
confsolv,canonical_tautomer_key,VNWKTOKETHGBQD-UHFFFAOYSA-N,C,[CH3][Al]([I])[I],OFDZMBIASJPNKS,VNWKTOKETHGBQD
confsolv,canonical_tautomer_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,C[CH2][Al]([I])[CH2]C,PPQUYYAZSOKTQD,OTMSDBZUPAUEDD
confsolv,canonical_tautomer_key,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,CC[O-].[Na+],QDRKDTQENPPHOJ,LFQSCWFLJHTTHZ
confsolv,canonical_tautomer_key,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,[CH2-]C.[Cu].[K+],RHPUUBHQFYMSIS,OTMSDBZUPAUEDD
confsolv,canonical_tautomer_key,BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,CN.CN.O=C([O-])C(=O)[O-].[Fe+2],SGCHUASAWIHNPL,BAVYZALUXZFZLV
confsolv,canonical_tautomer_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)O.CC(=O)O.CC(=O)O.[Lu],WAENOLHPLZELJY,QTBSBXVTEAMEQO
confsolv,canonical_tautomer_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)O.[Ni],XMOKRCSXICGIDD,QTBSBXVTEAMEQO
confsolv,canonical_tautomer_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CC(=O)[O-].CC(=O)[O-].[Be+2],YUOUKRIPFJKDJY,QTBSBXVTEAMEQO
confsolv,canonical_tautomer_key,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,Cc1ccc([O-])cc1.[Na+],ZECBPBHBGNLLMU,IWDCLRJOBJJRNH
